ID,Bucket,Criterion,What pass requires,Notes,Conditional
P-C1,P — Pedagogy,Three content-system categories are separate and explicit,"The lesson states three distinct learning targets under the 2022 revised curriculum's content-system categories, each labeled with its Korean category name spelled out: 지식·이해 (""학생은 ___임을 이해한다""), 과정·기능 (""학생은 [조사하다·분석하다·비교하다·토의하다·평가하다 중 이 차시의 동사]하여 ___할 수 있다""), 가치·태도 (""학생은 ___하는 태도를 보인다""). The 과정·기능 verb must be one of those social-inquiry verbs or a close synonym (견주다, 해석하다, 제안하다); an experiment or modelling verb (실험하다, 모형으로 표현하다) is a fail. Pass = three distinct bullets, each carrying its category label. Fail = the three are merged into one objective, a category is missing, 지식·이해 appears alone, or the labels are abbreviated.","science.csv P-S1의 이월 — 3범주 구조는 그대로 두고 과정·기능 동사만 사회과 목록으로 좁혔다. 출처: social.md §섹션 구조 2 범주별 학습 목표(""세 범주를 하나의 모호한 목표로 합치지 않는다"") 및 초5–6 §자료 조사·분석(""이번 차시의 과정·기능을 명확히 지정한다: 자료를 조사하는가, 분석하는가, 비교하는가"").",
P-C2,P — Pedagogy,차시 탐구 질문 is arguable and answerable from this lesson's sources,"The lesson carries a 단원 탐구 질문 and exactly one 차시 탐구 질문 under it, and the 차시 질문 (a) cannot be closed by yes/no or a single fact lookup, (b) is answerable with the sources this lesson actually puts in students' hands rather than by exchanging opinions, and (c) is the question the exit ticket returns to. Where the model drafted either question it is marked [제안]. Pass = both questions present, the 차시 질문 meets (a)–(c), and any model-drafted question is marked. Fail = only one question exists, the 차시 질문 is fact recall, it asks for a preference the sources cannot adjudicate, or an unmarked model-drafted question is presented as the teacher's.",science.csv P-S2(앵커 현상)의 치환 — 사회과에서는 관찰 가능한 현상이 아니라 논쟁 가능한 물음이 그 자리에 온다. 출처: social.md §단원 탐구 질문(논쟁 가능 · 삶과 연결 · 자료로 답할 수 있음 · 학년군에 맞는 복잡도; 모델이 초안했으면 [제안] 표시).,
P-C3,P — Pedagogy,"Sources are real, attributed, and reproduced only when permitted","Every source the lesson uses carries 제목·생산자·연도 (and 소장처 where applicable). Excerpts are printed on student pages ONLY for 법령·조례, 정부 간행물·공공데이터, or 저작권이 만료된 사료; 신문 기사·방송·교과서 지문·저작권이 있는 사진·도표 are named in the teacher plan with 제목·출처·접근 경로 and never reproduced on a student page. A trimmed or summarised excerpt says ""…에서 재구성"" in its origin, and a page number appears only on text copied verbatim. Pass = every source is attributable and sits in the correct one of those two lanes. Fail = a source missing 생산자 or 연도, a source a teacher could not locate, a copyright-restricted excerpt printed for students, or a reconstructed excerpt presented as verbatim.","출처: social.md §자료(source) 규칙(발췌를 수록할 수 있는 자료 / 지목만 하는 자료 / 재구성 발췌) + 초5–6 협상 불가(""자료에는 출처가 붙는다 — 제목·생산자·연도를 학생 자료에도 표시한다""). 판정 범위는 실재성·귀속·수록 가능 여부까지 — 두 자료가 만드는 긴장은 R-C2가 따로 본다.",
P-C4,P — Pedagogy,Student output must cite evidence from this lesson's own sources,"At least one student-facing task requires the student to point at a source AND at a part of it — ""어느 자료의 어느 부분"" — and the task text or its sentence frame makes that pointing obligatory, not optional. The evidence must come from this lesson's materials: a task a student could complete from prior knowledge alone fails. Pass = the student-facing text (not the teacher rationale) demands source-anchored evidence. Fail = a 근거 slot that accepts ""그냥 그럴 것 같아서"", or the evidence demand living only in the lesson plan.","출처: social.md 초5–6 협상 불가(""주장에는 제시 자료에서 나온 근거가 붙는다""), 중학교 협상 불가(""근거는 이번 차시 자료에서 나온 것이어야 한다 — '원래 알고 있었어요'는 이 수업의 근거가 아니다""), §정리 문항 지침(""오늘의 자료에서 나온 근거를 들어""). 판정 범위는 근거의 출처를 요구하는지까지 — 밴드별 논증 형식은 R-C1, 정리 문항의 기능·분류 기준은 shared R3.",
P-C5,P — Pedagogy,Controversy is kept controversial,"Four checks across every artifact. (1) 정답화 없음 — no single position is placed as the lesson's conclusion; source selection, 발문, and the exit ticket are not tilted one way. (2) 실재 정당·정치인 명명 없음 — the issue is carried at 정책·제도·가치 level, never as one party's or politician's position against another's. (3) 가치 문항의 형식 — a value item reads ""근거를 들어 자신의 입장을 서술하시오"", and the teacher document states in one line that what is judged is the quality of 근거와 논증, not the student's conclusion. (4) 모델의 입장 표명 없음 — the model's own position on the issue appears nowhere (수업안 해설, 교사용 근거, 예시 답안 포함); where an example answer is given, opposing positions are given at equal quality. Pass = all four clean. Fail = quote the passage that breaks any one of them.","출처: social.md §논쟁 문제 가드레일(정답화 금지 / 실재 정당·정치인은 명명하지 않는다 / 가치 문항의 형식 / 모델의 입장 표명 금지). 근거는 교육의 중립성(교육기본법). 고 통합사회 협상 불가가 ""차시마다 점검한다""로 이 항목을 다시 지시한다.",
P-C6,P — Pedagogy,"통합적 관점 appears in the student task, not only in the objectives","For a 통합사회1·2 lesson: the 통합적 관점 쓰기 task requires the student to combine two or more of 시간적·공간적·사회적·윤리적 관점 (or two named 개념 영역), and its conclusion is tied to 사회 참여 through a concrete action the student names — not ""관심을 갖자"". The perspectives must be visible in the student-facing prompt. Pass = two or more perspectives demanded in the task AND a substantive participation link. Fail = 통합적 관점 named only in the objectives or the rationale, one perspective only, a participation line that asks for attitude rather than action, or a lesson whose topic IS 통합적 관점 (it is a methodological perspective on the other 영역, not a 차시 소재 of its own).",출처: social.md §고등학교 통합사회 통합적 관점 쓰기(둘 이상의 관점을 통합 · 결론은 사회 참여와 연결) + §고등학교 협상 불가(통합적 접근을 영역별로 쪼개지 않는다 / 열 번째 영역 '통합적 관점'은 별도 차시 소재가 아니다 / 사회 참여 연결은 실질적이어야 한다).,통합사회
P-C7,P — Pedagogy,Standard type is declared and the lesson structure matches it,"FIRST classify the target standard's 서술어 yourself and state the classification in the explanation: 조사·분석형 (""~을 조사한다"", ""~을 분석·해석한다""), 토의·논증형 (""~을 토의한다"", ""~을 평가한다"", or a contested issue), or 실천·참여형 (""~을 모색한다"", ""~을 제안한다"", ""실천으로 확장""). Then check only what that type requires. 조사·분석형: the five phases stand as written and the comparison of the two sources is what feeds 주장-근거. 토의·논증형: 토의·논증 is widened and 자료 분석 compressed, and time is explicitly left for students to name the evidence that cuts against their own position. 실천·참여형: the closing writing slot (중 주장-근거 글쓰기 / 고 통합적 관점 쓰기) holds a 해결·참여 방안 grounded in this lesson's sources — a bare pledge (""~을 아끼자"") with no source grounding is incomplete. Pass = the classification is stated AND the slot that type requires is filled. Fail = the type is unstated, misclassified against the standard's verb, or the required slot is missing. A missing 해결 방안 is NOT a failure for 조사·분석형 or 토의·논증형, and a compressed 토의 is NOT a failure for 조사·분석형.","science.csv P-S5(모형 수정 / 실험 설계형 분기) 계보의 대체 기준. 출처: social.md §중 1–3학년 ""성취기준 유형에 따른 단계 분기""(고 통합사회 밴드에도 같은 분기를 적용한다). 유형을 무시하고 한 구조를 무조건 요구하면 세 유형 중 둘이 항상 fail이 되므로 조건부 판정이 필수다. 초등 밴드에는 이 분기가 없다.",중·고
P-C8,P — Pedagogy,"가치·태도 is observable and required of students, not just declared","The 가치·태도 target names an attitude that can be OBSERVED in student behaviour during this lesson (e.g. ""자료의 출처를 확인하고 말하는 태도"", ""다른 입장의 근거를 끝까지 듣고 자료로 되묻는 태도""), and at least one 관찰 포인트 (look-for) or student-facing task actually requires it. Pass = the target is behavioural AND is picked up by a look-for or a student task. Fail = the target is an unobservable disposition (""사회 문제에 관심을 갖는다"", ""소중히 여긴다""), or it appears only in the objectives list with nothing in the lesson that would let a teacher observe it.","science.csv P-S4의 이월 — 예시만 사회과 행동으로 바꿨다. 출처: social.md §섹션 구조 2(""학생은 ___하는 태도를 보인다"") + §섹션 구조 6(관찰 포인트는 성취기준의 어느 범주에 왜 중요한지를 명명한다). 3범주 중 가장 비기 쉬운 자리라 별도 항목으로 둔다.",
P-C9,P — Pedagogy,Source analysis precedes the conclusion,"Students read and analyse the sources before the lesson or the teacher states a conclusion. The 자료 분석 / 자료 살펴보기 phase comes before 토의·논증 / 이야기 나누기 and before any 주장-근거 writing; the opening phase poses the issue or question without resolving it; and no student-facing text hands over the answer ahead of the sources. Pass = the sequence holds and the opening withholds the conclusion. Fail = the teacher explains the conclusion first and students then 'confirm' it with the sources, the teacher's explanation stands in for the source itself, or a student page states the answer above the analysis task.","science.csv P-S3의 이월 — DESIGN.md §5 불변 원칙 6은 한국 사회과에서도 그대로 성립한다. 사회과 문장 근거: social.md 초3–4 §질문 만나기(""답을 알려주지 않는다"")·초3–4 협상 불가(""교사의 설명으로 자료를 대체하지 않는다""), 중 §쟁점·사례 제시(""결론을 밝히지 않는다""), 고 §쟁점 던지기(학생이 독립적으로 초기 입장을 쓴다).",
R-C1,R — Rigor,Written argument form matches the 학년군,"The lesson's argument-writing phase and its exit ticket carry the form this band requires: 초3–4 그림 + 한 문장, with what the student saw in the source as the reason; 초5–6 주장 + 근거 1, naming which source and which part; 중1–3 주장 + 근거 2, and 중3 additionally writes what the opposing side would argue and answers it; 고 통합사회 주장 + 근거 + 반론 고려. 중·고 also return to the opening 초기 입장 and add one line on what changed. Pass = the form present in the student materials meets the band's form (exceeding it is a pass). Fail = a required element of the band is absent — 초5–6 with a 주장 and no 근거, 중 with only one 근거, 중3 or 고 with no 반론, 중·고 with no return to the 초기 입장.","science.csv R-S1(주장-증거-추론의 학년군 게이팅)의 사회과판 — 사회에서는 '추론'이 아니라 근거의 수와 반론이 밴드를 가른다. 출처: social.md 각 밴드 절(초3–4 표현하기·정리 문항 / 초5–6 주장-근거 쓰기 / 중 주장-근거 글쓰기 ""중3은 반론 인식까지"" / 고 통합적 관점 쓰기·형성 확인) + §정리 문항 지침. 근거의 출처 요구는 P-C4, 정리 문항의 기능·분류 기준은 shared R3이 본다.",
