ID,Bucket,Criterion,What pass requires,Notes,Conditional
P-K1,P — Pedagogy,Three content-system categories are separate and explicit,"The lesson states three distinct learning targets under the 2022 revised curriculum's content-system categories, each labeled with its Korean category name spelled out: 지식·이해 (학생은 ___임을 이해한다), 과정·기능 (학생은 [언어 수행 동사]하여 ___할 수 있다), 가치·태도 (학생은 ___하는 태도를 보인다). Pass = three distinct bullets, each carrying its category label. Fail = merged into one objective, a category missing, or labels abbreviated (듣말, 과·기).",과학판 P-S1과 구조적으로 같다 — 3범주는 과목 중립이다. 국어에서 달라지는 것은 과정·기능의 동사뿐(탐구 기능 동사 → 언어 수행 동사).,
P-K2,P — Pedagogy,"이 차시가 단원 골격의 어느 국면을 맡았는지 밝히고, 그 국면에 맞게 짜였다","영역 파일의 단계 골격은 **단원 골격**이지 한 차시 골격이 아니다. 따라서 다섯 국면을 다 넣었는지가 아니라 **이 차시가 어느 국면을 맡았는지 밝히고 그 국면을 제대로 수행하는지**를 본다. Pass = (가) `shared.unit` 표에 차시 번호와 '이 차시가 맡은 국면'이 영역 골격의 국면 이름으로 적혀 있고, (나) 수업 전개의 단계가 그 국면에 대응하며, (다) 압축(한 차시에 여러 국면)이라면 영역 파일의 차시 나누기가 허용하는 조건에 실제로 해당한다(짧은 제재·짧은 시·규칙 하나·모둠 안 실연 등). Fail = 맡은 국면이 어디에도 안 적혔거나, 적힌 국면과 실제 단계가 어긋나거나, 허용 조건이 아닌데 다섯 국면을 한 차시에 밀어 넣었거나, **국면을 맡았다고 해 놓고 그 국면의 필수 요소를 빠뜨렸다**(예: 문학의 '삶과 연결'을 맡았는데 그 단계가 없다).","2026-09-01 개정: 원래 '영역 골격을 따르는가'였는데, 그 기준이 다섯 국면을 한 차시에 넣도록 밀었다. 실제로 초5 문학 파일럿이 5국면을 40분에 넣으려다 '삶과 연결'을 빠뜨렸고, 독립 채점(P5·P-K2)이 그걸 잡자 5분짜리로 우겨 넣어 고쳤다 — 그것이 잘못된 수정이었다. 골격이 한 차시에 안 맞는다는 신호였는데 골격을 차시에 욱여넣은 것이다. 쓰기 영역만 처음부터 예외 조항('한 차시에 다섯 단계를 다 넣지 않는다')을 갖고 있었고 그래서 쓰기 파일럿만 고쳐쓰기 국면 하나로 살아남았다 — 설계가 영역마다 어긋나 있었다. 골격을 단원 골격으로 승격하고 여섯 영역 전부에 차시 나누기 절을 넣었다. 상류 ELA 도 학습 목표를 'tied to the text and unit' 으로 규정한다 — 단원 연결은 국어판이 새로 만든 개념이 아니다.",
P-K3,P — Pedagogy,"Strategy is modelled with actual teacher script, before students use it","**해당 영역에서만 채점한다 — 읽기 · 쓰기 · 듣기·말하기.** 그 세 영역의 단계 골격에는 전략 시범이 들어 있다. 문법(귀납 — 규칙 발견을 시범하면 탐구가 무너진다)과 매체(골격에 시범 단계가 없다)는 해당 없음으로 건너뛴다. 문학은 시범이 선택이므로 있으면 채점하고 없으면 건너뛴다. 채점 대상일 때: There is a modelling phase in which the teacher demonstrates the lesson's strategy (요약, 추론, 고쳐쓰기, 근거 찾기) on part of the 제재, and the lesson plan carries the teacher's ACTUAL WORDS — say-aloud script, not a summary of what to do. The modelling comes BEFORE the task that asks students to do it. Fail = the plan says 교사가 시범을 보인다 without the words, or students are asked to apply a strategy never demonstrated.","1차 채점에서 문법·매체 파일럿이 이 항목에 걸렸는데, 두 영역은 domain 파일이 시범을 금지하거나 골격에 두지 않는다 — 루브릭이 읽기·쓰기를 전제하고 전 영역에 걸린 것이었다. 조건부로 바꿨다. domains/grammar.md 협상 불가 원칙 '탐구가 명명보다 먼저' 와 충돌하던 것을 해소한다.",읽기·쓰기·듣기말하기 (문학은 시범 있을 때만)
P-K4,P — Pedagogy,"가치·태도 is observable and required of students, not just declared","The 가치·태도 target names an attitude OBSERVABLE in student behaviour during this lesson (예: 다르게 읽은 친구에게 근거를 묻는 태도, 동료의 지적을 기준에 비추어 받아들이는 태도), and at least one 관찰 포인트 or student task actually requires it. Pass = behavioural AND picked up by a look-for or task. Fail = an unobservable disposition (국어에 흥미를 갖는다, 문학을 사랑한다), or it appears only in the objectives list.",과학판 P-S4를 국어 예시로 옮긴 것. 3범주 중 가장 비어 버리기 쉬운 범주라는 점은 과목과 무관하게 같다.,
P-K5,P — Pedagogy,"제재 is named with its sourcing route, and copyright is respected","The lesson names its 제재 (글·작품·담화·매체 자료) with title and source, and states which of three routes it came from: (1) 보호기간 만료 작품 — 저작자가 1962-12-31 이전 사망, 전문 수록 가능; (2) 이 수업을 위해 쓴 원저작 글; (3) 현행 작품 — 서지 정보만, 전문 미수록, 교사 준비물로 표시. Pass = route is explicit AND no in-copyright full text is printed on a student page. Fail = 제재 unnamed, route unstated, a modern work's full text printed, a 현대어역·번역본 reproduced, or 검정 교과서 지문이 재현됨.","국어 이식에서 신설 — 과학판에 대응 항목이 없다. 과학은 지문 없이도 수업이 성립하지만 국어는 아니므로, 제재 조달이 별도의 채점 단위가 된다. references/text-sourcing.md 참조. 이 항목은 산출물 품질이 아니라 법적 안전을 잰다.",
R-K1,R — Rigor,Student responses must cite text evidence with its location,"At least one student task requires the student to point at the 제재 — 문단 번호, 연·행, 장면, 발화 — as the ground for a claim, interpretation, or evaluation. Pass = a task or 문장 지원 makes the location explicit (몇 문단, 어느 말을 보고). Fail = all tasks accept unsupported impressions, or evidence is expected only in the teacher's head. **초1–2는 증거의 형태만 낮춘다** — 손가락으로 짚기, 그림 가리키기, '어디 보고?'에 말로 답하기를 근거로 인정한다. 그러나 그런 과제가 실제로 있어야 통과이며, 자동 통과가 아니다.","과학판 R-S1(CER, 탐구 자료 인용)의 국어판. 구조는 같고 증거원만 다르다 — 국어의 증거는 데이터가 아니라 본문이다. 단, 문학은 정답 해석을 요구하지 않는다: 근거를 요구하되 하나의 해석으로 몰면 오히려 실패다. (2026-09-01 독립 채점: '초1–2 자동 통과' 조항 때문에 어떤 초1–2 산출물도 통과해 변별력이 0이었다. 증거의 형태만 낮추고 존재 요구는 남기도록 고쳤다.)",
R-K2,R — Rigor,Students actually perform the language act the standard names,"The lesson gives real time and real page space to the domain's language act: 읽기 성취기준이면 학생이 직접 읽고(초1–2는 함께 읽기·따라 읽기 인정), 쓰기면 실제로 쓰고(빈칸 채우기가 아니라), 듣기·말하기면 전원이 말하고 듣는 쪽에도 기록 과제가 있고, 문학이면 근거 있는 해석을 남기고, 문법이면 학생이 규칙을 찾고, 매체면 생산자·의도를 따진다. Pass = the act occupies a named phase with realistic minutes AND a student-facing surface. Fail = 교사 설명과 개념 정리가 차시의 절반을 넘거나, 학생 활동이 내용 확인 문항으로만 되어 있다.",과학판 R-S2(정량 추론)를 대체한다. 국어에서 가장 흔한 실패는 국어에 대한 수업이 되는 것 — 학생이 언어를 수행하지 않고 국어 지식을 전달받는 것이다. korean.md 공통 원칙 1.,
P-K6,P — Pedagogy,초1–2 해득: 그림·문맥 단서로 낱말을 읽게 하지 않는다,"**초1–2 에서만 채점한다** (그 밖의 학년군은 해당 없음). 모르는 낱말을 알아내는 방법으로 그림 단서·문맥 단서·첫 글자 단서를 쓰라는 지시가 수업안·학생 자료 어디에도 없다. Pass = 낱말 읽기 지도가 자모의 소릿값을 짚어 소리로 합성하는 방식이다. Fail = '그림을 보고 무슨 낱말일지 짐작해 보세요', '앞뒤를 보고 맞혀 보세요', 'ㅁ으로 시작하니까 뭘까요?' 같은 지시가 하나라도 있다. **읽기 전 배경지식 활성화는 위반이 아니다** — 화제를 여는 것과 글자를 읽는 방법으로 단서를 쓰는 것은 다르다.","상류 ELA `P-E4`(No three-cueing)의 국어판. 2026-09-01 상류 ela.md 를 읽고 이식했다. 한글 해득 지도에서도 같은 원리다 — 짐작이 맞아도 글자를 읽은 것이 아니고, 그 습관이 붙으면 해득이 늦어진다. domains/reading.md 초1–2 협상 불가 1번.",초1–2
P-K7,P — Pedagogy,초1–2 해득 제재가 자소 범위 안에 있다,"**초1–2 에서만 채점한다.** 해득 제재가 그 차시가 가르치는 자소 + 이미 배운 자소 + 고빈도어 범위 안에 있다. Pass = **겹받침(ㄺ·ㄼ·ㄶ·ㅄ…)이 한 글자도 없고**, 복잡한 음운 변동(구개음화·자음 동화)이 그 차시의 학습 대상이 아닌 한 없다. Fail = 겹받침이나 학습 대상 밖의 음운 변동이 제재에 있다. 그 차시가 겹받침을 가르치는 수업이면 당연히 통과다 — 판정은 '있느냐'가 아니라 '가르치지 않은 것이 있느냐'다.",상류 ELA `P-E5`(Decodable text)의 국어판. 2026-09-01 이식하면서 초1 파일럿이 이미 위반 중이었음을 발견했다 — 「밭에 간 날」에 '흙을'[흘글](겹받침 ㄺ + 연음)이 있었다. '땅'으로 고쳤다. 이 항목이 없었으면 계속 통과했을 결함이다.,초1–2
R-K3,R — Rigor,토의 전에 혼자 정리하는 단계가 온다,"전체 토의나 짝 대화가 있는 모든 단계 앞에, 학생이 혼자 정리하는 단계가 온다 — 한 줄 쓰기, 표의 한 칸 채우기, 초1–2 는 그리거나 짚어 두기. Pass = 토의 단계마다 앞선 개인 정리 지면이나 지시가 있다. Fail = 자료를 보자마자 '짝과 이야기해 보세요'로 들어가는 토의가 하나라도 있다. 토의 단계가 없으면 skip.","상류 ELA `R-E1`(Student writes before speaking)을 그대로 가져왔다. 국어에서도 그대로 성립한다 — 이 단계가 없으면 먼저 말하는 몇 명의 답이 학급의 답이 되고, 느리게 생각하는 학생은 토의에 들어올 자리가 없다. korean.md 공통 원칙 6.",
